order_date,city,Weather_Type,nonAB_rev,AB_rev,AB_qty,nonAB_qty
12/11/22,Houston,Rainy,22.53057292,28.96399157,2.161441443,2.171850273
12/11/22,New York City,Rainy,20.77086373,33.86048471,2.327198757,1.992355267
12/11/22,Miami,Moderately Hot,18.39932649,20.93064262,1.613550676,1.588566126
12/11/22,Austin,Moderately Cold,18.85451637,26.33822174,1.729483777,1.943329433
12/11/22,Sacramento,Outliers,20.0257229,21.64089128,1.616246343,1.825795681
12/12/22,New York City,Moderately Cold,20.72390161,33.59388228,2.306514926,1.998656823
12/12/22,Sacramento,Rainy,19.25230278,22.51297567,1.676893324,1.778751657
12/12/22,Phoenix,Moderately Cold,17.855831,24.59003278,1.705930129,1.781547225
12/12/22,Houston,Moderately Cold,22.4836108,28.69738913,2.140757612,2.17815183
12/12/22,Tulsa,Moderately Cold,15.39468066,22.87861395,1.662994331,1.716767389
12/12/22,Austin,Moderately Cold,18.84823208,26.3343345,1.729115987,1.94294839
12/12/22,Washington,Moderately Cold,28.13229616,35.34795646,2.482522761,2.909962561
12/12/22,Atlanta,Moderately Cold,15.76860405,23.79083607,1.689470801,1.619861303
12/12/22,Charlotte,Outliers,16.62111719,23.69421231,1.757787956,1.588514701
12/12/22,Austin,Outliers,19.65604573,25.72107808,1.688417257,1.982928772
12/13/22,Houston,Moderately Cold,22.4773265,28.6935019,2.140389822,2.177770787
12/13/22,Austin,Moderately Cold,18.84194778,26.33044727,1.728748197,1.942567348
12/13/22,New York City,Moderately Cold,20.71761732,33.58999504,2.306147136,1.998275781
12/13/22,Phoenix,Moderately Cold,17.8495467,24.58614555,1.705562339,1.781166182
12/13/22,Charlotte,Outliers,16.61483289,23.69032507,1.757420166,1.588133659
12/13/22,Miami,Moderately Hot,18.3867579,20.92286815,1.612815096,1.58780404
12/14/22,Washington,Moderately Cold,28.11972757,35.34018199,2.481787181,2.909200476
12/14/22,Miami,Moderately Hot,18.3804736,20.91898092,1.612447305,1.587422998
12/14/22,New York City,Moderately Cold,20.71133302,33.58610781,2.305779346,1.997894738
12/14/22,Tulsa,Moderately Hot,15.58158802,22.9354075,1.658842669,1.734185807
12/14/22,Sacramento,Rainy,19.23973419,22.5052012,1.676157744,1.777989572
12/14/22,Charlotte,Outliers,16.60854859,23.68643784,1.757052376,1.587752616
12/14/22,Houston,Moderately Hot,22.67051816,28.75418268,2.13660595,2.195570247
12/14/22,Phoenix,Moderately Hot,18.04273836,24.64682633,1.701778467,1.798965643
12/14/22,Austin,Moderately Hot,19.03513944,26.39112805,1.724964325,1.960366808
12/14/22,Atlanta,Outliers,16.56384911,23.16980517,1.64803649,1.6590796
12/15/22,Washington,Moderately Cold,28.11344327,35.33629475,2.481419391,2.908819433
12/15/22,New York City,Moderately Cold,20.70504872,33.58222057,2.305411556,1.997513695
12/15/22,Houston,Moderately Hot,22.66423386,28.75029545,2.13623816,2.195189205
12/15/22,Austin,Moderately Hot,19.02885514,26.38724081,1.724596534,1.959985765
12/15/22,Atlanta,Moderately Cold,15.74975116,23.77917436,1.68836743,1.618718175
12/16/22,Houston,Moderately Hot,22.65794957,28.74640821,2.135870369,2.194808162
12/16/22,New York City,Moderately Hot,20.89824038,33.64290135,2.301627683,2.015313156
12/16/22,Austin,Moderately Hot,19.02257085,26.38335358,1.724228744,1.959604723
12/16/22,Washington,Moderately Cold,28.10715898,35.33240752,2.481051601,2.908438391
12/16/22,Charlotte,Moderately Cold,15.78816635,24.29191979,1.797015526,1.547010149
12/16/22,Tulsa,Rainy,15.4102213,23.12578021,1.681839211,1.70856062
12/16/22,Tulsa,Moderately Cold,15.36954348,22.86306501,1.661523171,1.715243219
12/17/22,Washington,Moderately Hot,28.30035063,35.3930883,2.477267728,2.926237851
12/17/22,Charlotte,Moderately Hot,15.98135801,24.35260057,1.793231654,1.56480961
12/17/22,Houston,Moderately Hot,22.65166527,28.74252098,2.135502579,2.19442712
12/17/22,Austin,Moderately Hot,19.01628655,26.37946634,1.723860954,1.95922368
12/17/22,Sacramento,Moderately Cold,19.18020348,22.23082429,1.654738333,1.783529044
12/17/22,Atlanta,Moderately Hot,15.93665852,23.83596791,1.684215768,1.636136593
12/17/22,Miami,Moderately Hot,18.36162071,20.90731921,1.611343935,1.58627987
12/17/22,New York City,Moderately Cold,20.69248013,33.5744461,2.304675976,1.99675161
12/17/22,Phoenix,Moderately Cold,17.82440951,24.57059661,1.704091179,1.779642012
12/17/22,Tulsa,Rainy,15.403937,23.12189298,1.681471421,1.708179577
12/18/22,Washington,Moderately Cold,28.09459038,35.32463305,2.48031602,2.907676305
12/18/22,Phoenix,Moderately Cold,17.81812522,24.56670937,1.703723389,1.779260969
12/18/22,Houston,Rainy,22.48658284,28.93678092,2.158866912,2.169182975
12/18/22,Miami,Moderately Hot,18.35533642,20.90343198,1.610976145,1.585898827
12/18/22,Tulsa,Outliers,16.16478853,22.24203411,1.62008886,1.754461516
12/18/22,Miami,Rainy,18.19653829,21.10157916,1.634708268,1.561035725
12/18/22,New York City,Rainy,20.72687366,33.83327406,2.324624226,1.989687969
12/18/22,Austin,Rainy,18.85120412,26.57372629,1.747225287,1.933979535
12/18/22,Atlanta,Rainy,15.7715761,24.03022785,1.7075801,1.610892448
12/19/22,Houston,Moderately Cold,22.43962073,28.67017849,2.138183082,2.175484531
12/19/22,New York City,Moderately Cold,20.67991154,33.56667163,2.303940395,1.995989525
12/19/22,Houston,Moderately Hot,22.63909668,28.73474651,2.134766999,2.193665034
12/19/22,Sacramento,Moderately Cold,19.16763489,22.22304982,1.654002753,1.782766958
12/19/22,Austin,Moderately Cold,18.80424201,26.30712386,1.726541457,1.940281092
12/19/22,Charlotte,Rainy,15.80999129,24.54297329,1.816228196,1.539184422
12/19/22,Washington,Moderately Cold,28.08830609,35.32074581,2.47994823,2.907295263
12/19/22,Miami,Rainy,18.19025399,21.09769192,1.634340478,1.560654683
12/19/22,Tulsa,Moderately Cold,15.35069059,22.85140331,1.660419801,1.714100091
12/19/22,Atlanta,Rainy,15.7652918,24.02634062,1.70721231,1.610511406
12/20/22,New York City,Super Cold,20.86575167,33.5444931,2.281462149,2.023852291
12/20/22,Washington,Super Cold,28.27414621,35.29856728,2.457469984,2.935158029
12/20/22,Atlanta,Moderately Cold,15.71832968,23.75973819,1.68652848,1.616812962
12/20/22,Houston,Rainy,22.47401425,28.92900645,2.158131332,2.16842089
12/20/22,Tulsa,Moderately Cold,15.34440629,22.84751607,1.660052011,1.713719049
12/20/22,Phoenix,Moderately Cold,17.80555663,24.5589349,1.702987809,1.778498884
12/20/22,Austin,Moderately Cold,18.79795771,26.30323662,1.726173666,1.939900049
12/21/22,Houston,Moderately Cold,22.42705213,28.66240402,2.137447501,2.174722446
12/21/22,New York City,Moderately Cold,20.66734295,33.55889716,2.303204815,1.99522744
12/21/22,Washington,Rainy,28.11641532,35.57568654,2.49952869,2.899850579
12/21/22,Charlotte,Moderately Cold,15.75674487,24.27248362,1.795176576,1.545104936
12/21/22,Miami,Rainy,18.1776854,21.08991745,1.633604897,1.559892597
